experiment_id,vincristine,mitoxantrone,etoposide,daunorubicin,cell_viability,cell_viability_pct,combo_label,viability_rank,efficacy_score,recommended_reason
240,50.0,10,100.0,75.0,0.42,42.0,V=50.0 | M=10 | E=100.0 | D=75.0,1,0.58,Includes Vincristine + Mitoxantrone
224,50.0,5,100.0,75.0,0.46,46.0,V=50.0 | M=5 | E=100.0 | D=75.0,2,0.54,Includes Vincristine + Mitoxantrone
252,50.0,40,25.0,75.0,0.47,47.0,V=50.0 | M=40 | E=25.0 | D=75.0,3,0.53,Includes Vincristine + Mitoxantrone
256,50.0,40,100.0,75.0,0.47,47.0,V=50.0 | M=40 | E=100.0 | D=75.0,4,0.53,Includes Vincristine + Mitoxantrone
239,50.0,10,100.0,18.75,0.49,49.0,V=50.0 | M=10 | E=100.0 | D=18.75,5,0.51,Includes Vincristine + Mitoxantrone
236,50.0,10,25.0,75.0,0.5,50.0,V=50.0 | M=10 | E=25.0 | D=75.0,6,0.5,Includes Vincristine + Mitoxantrone
237,50.0,10,100.0,0.0,0.5,50.0,V=50.0 | M=10 | E=100.0 | D=0.0,7,0.5,Includes Vincristine + Mitoxantrone
238,50.0,10,100.0,9.375,0.5,50.0,V=50.0 | M=10 | E=100.0 | D=9.375,8,0.5,Includes Vincristine + Mitoxantrone
225,50.0,10,0.0,0.0,0.51,51.0,V=50.0 | M=10 | E=0.0 | D=0.0,9,0.49,Includes Vincristine + Mitoxantrone
248,50.0,40,12.5,75.0,0.51,51.0,V=50.0 | M=40 | E=12.5 | D=75.0,10,0.49,Includes Vincristine + Mitoxantrone
223,50.0,5,100.0,18.75,0.53,53.0,V=50.0 | M=5 | E=100.0 | D=18.75,11,0.47,Includes Vincristine + Mitoxantrone
244,50.0,40,0.0,75.0,0.53,53.0,V=50.0 | M=40 | E=0.0 | D=75.0,12,0.47,Includes Vincristine + Mitoxantrone
254,50.0,40,100.0,9.375,0.53,53.0,V=50.0 | M=40 | E=100.0 | D=9.375,13,0.47,Includes Vincristine + Mitoxantrone
193,50.0,0,0.0,0.0,0.54,54.0,V=50.0 | M=0 | E=0.0 | D=0.0,14,0.46,Vincristine-based combination
228,50.0,10,0.0,75.0,0.54,54.0,V=50.0 | M=10 | E=0.0 | D=75.0,15,0.46,Includes Vincristine + Mitoxantrone
250,50.0,40,25.0,9.375,0.55,55.0,V=50.0 | M=40 | E=25.0 | D=9.375,16,0.45,Includes Vincristine + Mitoxantrone
253,50.0,40,100.0,0.0,0.55,55.0,V=50.0 | M=40 | E=100.0 | D=0.0,17,0.45,Includes Vincristine + Mitoxantrone
255,50.0,40,100.0,18.75,0.55,55.0,V=50.0 | M=40 | E=100.0 | D=18.75,18,0.45,Includes Vincristine + Mitoxantrone
96,6.25,5,100.0,75.0,0.56,56.0,V=6.25 | M=5 | E=100.0 | D=75.0,19,0.44,Includes Vincristine + Mitoxantrone
